Id,Contact__c,Case__c,Name,CreatedDate,NPS_Score__c,Additional_Comments__c,NPS_Formula__c,CES_Score__c,What_can_SAI_make_easier_for_you__c,Post_Chat_Score__c
a3I0W0000027NroUAE,0030W00003RGqeEQAT,5000W000019hyU1QAI,GetFeedback Survey Response: Net Promoter Score,1/11/2018 18:13,10,,1,,,
a3I0W0000027NrtUAE,0030W00003RGiwkQAD,5000W000019hl5eQAA,GetFeedback Survey Response: Net Promoter Score,1/11/2018 18:14,10,Very satisfying experience,1,,,
a3I0W0000027NtYUAU,0030W00003Rtvj6QAB,5000W000019hyW7QAI,GetFeedback Survey Response: Net Promoter Score,1/12/2018 1:44,8,The support responses were very quick.,0,,,
a3I0W0000027NtdUAE,003d0000030krO7AAI,5000W000019hyCqQAI,GetFeedback Survey Response: Net Promoter Score,1/12/2018 12:14,10,,1,,,
a3I0W0000027NtiUAE,0030W00003QF6L1QAL,5000W000019i11uQAA,GetFeedback Survey Response: Net Promoter Score,1/12/2018 15:55,10,,1,,,
a3I0W0000027NtnUAE,0030W00003LhM0WQAV,5000W000019hnVoQAI,GetFeedback Survey Response: Net Promoter Score,1/12/2018 18:21,9,,1,,,
a3I0W0000027NtsUAE,003d000002OXv1zAAD,5000W000019i1DRQAY,GetFeedback Survey Response: Net Promoter Score,1/12/2018 18:23,10,,1,,,
a3I0W0000027Nu2UAE,003d000002aTbQaAAK,5000W000019i0tgQAA,GetFeedback Survey Response: Net Promoter Score,1/12/2018 19:45,10,,1,,,
a3I0W0000027Nu7UAE,003d0000030mW3AAAU,5000W000019i27PQAQ,GetFeedback Survey Response: Net Promoter Score,1/12/2018 20:18,10,,1,,,
a3I0W0000027NXfUAM,0030W00003OE47ZQAT,5000W000016mNrZQAU,GetFeedback Survey Response: Net Promoter Score,12/22/2017 18:27,9,Great Job!,1,,,
a3I0W0000027Nr5UAE,003d0000030uvyLAAQ,5000W000016mm7xQAA,GetFeedback Survey Response: Net Promoter Score,1/10/2018 18:21,9,Great Service,1,,,
a3I0W0000027NrUUAU,0030W00003OB3OdQAL,5000W000019hwaHQAQ,GetFeedback Survey Response: Net Promoter Score,1/11/2018 15:49,10,I have used the community platform a couple of times for my questions and had excellent feedback.  I have also used it many times to search for questions I have and most of the time found an existing conversation that was helpful.,1,,,
a3I0W0000027Nv5UAE,003d000002OXuXIAA1,5000W000019i3uTQAQ,GetFeedback Survey Response: Net Promoter Score,1/13/2018 17:43,9,I'm not sure which support request this is about. Most of The time it's awesome timely support earning an NPS of 10. Sometimes I don't like the policy of the answer and the lack of flexibility. Probably not support folks fault for those cases either :-),1,,,
a3I0W0000027NvAUAU,0030W00003Jy1UMQAZ,5000W000019i3kYQAQ,GetFeedback Survey Response: Net Promoter Score,1/13/2018 17:50,10,Got prompt answer to my question.  Thanks!,1,,,
a3I0W0000027NvFUAU,003d0000036iLCAAA2,5000W000019i4Y9QAI,GetFeedback Survey Response: Net Promoter Score,1/13/2018 17:58,10,,1,,,
a3I0W0000027NvKUAU,0030W00003RtgzfQAB,5000W000019i4qIQAQ,GetFeedback Survey Response: Net Promoter Score,1/13/2018 21:26,10,I'm really able to implement what I learnt and look forward to learning more about Scaled Agile!,1,,,
a3I0W0000027NvPUAU,003d0000036kPgcAAE,5000W000019i5OPQAY,GetFeedback Survey Response: Net Promoter Score,1/13/2018 22:10,10,Excellent,1,,,
a3I0W0000027NvUUAU,003d000002qLD8sAAG,5000W000019i4jCQAQ,GetFeedback Survey Response: Net Promoter Score,1/14/2018 0:01,2,"I have repeat trouble logging in and finding information. The new platform doesn't seem user friendly/user intuitive to me.  The CS rep who helped me the first time was great, but then I couldn't log in again and had to start over with user name and password resets.",-1,,,
a3I0W0000027NvZUAU,0030W00003NKg3EQAT,5000W000019i3OcQAI,GetFeedback Survey Response: Net Promoter Score,1/14/2018 5:29,7,,0,,,
a3I0W0000027NveUAE,003d000002lZ3pbAAC,5000W000019i45qQAA,GetFeedback Survey Response: Net Promoter Score,1/14/2018 5:59,10,"No, thanks.",1,,,
a3I0W0000027NvjUAE,0030W00003RtsIIQAZ,5000W000019hyDUQAY,GetFeedback Survey Response: Net Promoter Score,1/14/2018 8:31,8,No,0,,,
a3I0W0000027NvoUAE,0030W00003QF6KvQAL,5000W000019i3XUQAY,GetFeedback Survey Response: Net Promoter Score,1/14/2018 13:21,10,,1,,,
a3I0W0000027NvtUAE,003d000002aTVvCAAW,5000W000019i6oxQAA,GetFeedback Survey Response: Net Promoter Score,1/14/2018 18:59,10,,1,,,
a3I0W0000027NvyUAE,003d000003H9SCgAAN,5000W000019i0uUQAQ,GetFeedback Survey Response: Net Promoter Score,1/14/2018 19:13,10,,1,,,
a3I0W0000027Nw3UAE,0030W00003OBELDQA5,5000W000019i5r2QAA,GetFeedback Survey Response: Net Promoter Score,1/14/2018 21:20,10,,1,,,
a3I0W0000027Nw8UAE,003d000002aTaYIAA0,5000W000019i4RDQAY,GetFeedback Survey Response: Net Promoter Score,1/14/2018 21:27,10,,1,,,
a3I0W0000027NwDUAU,0030W00003PacIDQAZ,5000W000019i7VDQAY,GetFeedback Survey Response: Net Promoter Score,1/14/2018 21:36,10,"The support person was kind, considerate and quick",1,,,
a3I0W0000027NwIUAU,003d000002aTWxgAAG,5000W000019i3WMQAY,GetFeedback Survey Response: Net Promoter Score,1/14/2018 21:41,10,Excellent support!,1,,,
a3I0W0000027NwNUAU,0030W00003Qt8Y1QAJ,5000W000019i22jQAA,GetFeedback Survey Response: Net Promoter Score,1/14/2018 22:46,10,Amazing customer services!,1,,,
a3I0W0000027NwSUAU,0030W00003OAzMbQAL,5000W000019i7l6QAA,GetFeedback Survey Response: Net Promoter Score,1/14/2018 23:38,10,,1,,,
a3I0W0000027NwXUAU,0030W00003JxvvvQAB,5000W000019hv5jQAA,GetFeedback Survey Response: Net Promoter Score,1/15/2018 0:10,10,"thanks for the prompt response to my query, and your assistance - which exceeded my expectations.",1,,,
a3I0W0000027NwcUAE,003d000002OXub2AAD,5000W000019i6cmQAA,GetFeedback Survey Response: Net Promoter Score,1/15/2018 0:26,10,,1,,,
a3I0W0000027NwhUAE,003d0000030kty9AAA,5000W000019i6JfQAI,GetFeedback Survey Response: Net Promoter Score,1/15/2018 0:54,7,it was good,0,,,
a3I0W0000027NwmUAE,003d000002OXurhAAD,5000W000019i3KpQAI,GetFeedback Survey Response: Net Promoter Score,1/15/2018 3:32,9,,1,,,
a3I0W0000027NwrUAE,0030W00003RtNaiQAF,5000W000019i2UEQAY,GetFeedback Survey Response: Net Promoter Score,1/15/2018 4:32,10,"Super, efficient service! Thank you. Perhaps the support team can also provide answers to queries on course content in the future.",1,,,
a3I0W0000027Nx1UAE,0030W00003Rtsf7QAB,5000W000019i3aJQAQ,GetFeedback Survey Response: Net Promoter Score,1/15/2018 5:27,2,,-1,,,
a3I0W0000027Nx6UAE,003d000002lY9i1AAC,5000W000016nEdjQAE,GetFeedback Survey Response: Net Promoter Score,1/15/2018 5:34,5,"IT team took very long to fix the security certificate issue. It did get fixed ultimately, but could have been done faster.",-1,,,
a3I0W0000027NxBUAU,0030W00003PbMTyQAN,5000W000019i68NQAQ,GetFeedback Survey Response: Net Promoter Score,1/15/2018 7:43,9,No,1,,,
a3I0W0000027NxGUAU,0030W00003RthApQAJ,5000W000019i4TJQAY,GetFeedback Survey Response: Net Promoter Score,1/15/2018 8:30,0,,-1,,,
a3I0W0000027NxLUAU,0030W00003RtwjYQAR,5000W000019i3WHQAY,GetFeedback Survey Response: Net Promoter Score,1/15/2018 9:05,8,,0,,,
a3I0W0000027NxQUAU,0030W00003RtwjYQAR,5000W000019i3WCQAY,GetFeedback Survey Response: Net Promoter Score,1/15/2018 9:05,8,,0,,,
a3I0W0000027NxVUAU,003d000002lY9jWAAS,5000W000019i64fQAA,GetFeedback Survey Response: Net Promoter Score,1/15/2018 9:08,8,,0,,,
a3I0W0000027NxaUAE,0030W00003RGi8kQAD,5000W000019i4f0QAA,GetFeedback Survey Response: Net Promoter Score,1/15/2018 12:43,9,Support has been excellent!,1,,,
a3I0W0000027NxfUAE,0030W00003PbPVnQAN,5000W000019i5cRQAQ,GetFeedback Survey Response: Net Promoter Score,1/15/2018 13:08,9,,1,,,
a3I0W0000027NxkUAE,003d0000030mMPmAAM,5000W000019i6MtQAI,GetFeedback Survey Response: Net Promoter Score,1/15/2018 13:26,9,,1,,,
a3I0W0000027NxpUAE,003d0000030oDGXAA2,5000W000019hxm4QAA,GetFeedback Survey Response: Net Promoter Score,1/15/2018 14:27,9,"Great support, thank you!",1,,,
a3I0W0000027NxuUAE,0030W00003Ru07pQAB,5000W000019i7BNQAY,GetFeedback Survey Response: Net Promoter Score,1/15/2018 15:12,6,"support feedback is good, glossaries are wordy and confusing, practice test seemed to be not content based but traps of wording.  The questions are more about dissecting the question and splitting hairs not does one know  and understand the content.  Forest for the tress.",-1,,,
a3I0W0000027NxzUAE,0030W00003N5ZgHQAV,5000W000019i6K4QAI,GetFeedback Survey Response: Net Promoter Score,1/15/2018 15:36,8,,0,,,
a3I0W0000027Ny4UAE,003d000003HBbpZAAT,5000W000019i41oQAA,GetFeedback Survey Response: Net Promoter Score,1/15/2018 15:44,8,,0,,,
a3I0W0000027Ny9UAE,0030W00003QvWhVQAV,5000W000019hoRYQAY,GetFeedback Survey Response: Net Promoter Score,1/15/2018 16:51,10,,1,,,
a3I0W0000027NyEUAU,0030W00003RtzaZQAR,5000W000019i93zQAA,GetFeedback Survey Response: Net Promoter Score,1/15/2018 17:15,9,,1,,,
a3I0W0000027NyJUAU,0030W00003RuSmGQAV,5000W000019i5bJQAQ,GetFeedback Survey Response: Net Promoter Score,1/15/2018 18:41,8,,0,,,
a3I0W0000027NyOUAU,0030W00003RDYZMQA5,5000W000019i87HQAQ,GetFeedback Survey Response: Net Promoter Score,1/15/2018 19:44,1,Exam is too long and difficult.,-1,,,
a3I0W0000027O0mUAE,003d000003ApQvTAAV,5000W000019hmJSQAY,GetFeedback Survey Response: Net Promoter Score,1/16/2018 12:41,9,,1,,,
a3I0W0000027O3CUAU,003d000002OXuvFAAT,5000W000019i86nQAA,GetFeedback Survey Response: Net Promoter Score,1/17/2018 15:23,10,,1,,,
a3I0W0000027O3HUAU,003d000002aTWD1AAO,5000W000019i2YfQAI,GetFeedback Survey Response: Net Promoter Score,1/17/2018 16:38,9,"I was reaching out in the middle of a working day, so at first I was discouraged that the stated SLA for response time was 24 hours. However, I was contacted within an hour, so that was great.",1,,,
a3I0W0000027O3MUAU,003d000002uzn19AAA,5000W000019iAitQAE,GetFeedback Survey Response: Net Promoter Score,1/17/2018 16:55,10,"The content is great, the UX sometimes a little confusing.",1,,,
a3I0W0000027O3RUAU,0030W00003RuqyyQAB,5000W000019i99EQAQ,GetFeedback Survey Response: Net Promoter Score,1/17/2018 17:32,8,There is still a learning curve for me as I am trying to figure out how to use all the resources available on your website.  What I am really liking Is that there is a lot of content available for me to peruse without being nickle and dimed and that is greatly appreciated.,0,,,
a3I0W0000027O3WUAU,0030W00003NLpaSQAT,5000W000019iBEGQA2,GetFeedback Survey Response: Net Promoter Score,1/17/2018 19:10,9,They have been very helpful and usually very quick to respond!,1,,,
a3I0W0000027O3bUAE,003d000003HC5ODAA1,5000W000019hux6QAA,GetFeedback Survey Response: Net Promoter Score,1/17/2018 19:56,8,,0,,,
a3I0W0000027O3gUAE,0030W00003RtxxwQAB,5000W000019i9eWQAQ,GetFeedback Survey Response: Net Promoter Score,1/17/2018 20:42,10,"I wish you had weekend and late night support.
Kris was wonderful!",1,,,
a3I0W0000027O3lUAE,0030W00003LhtiSQAR,5000W000019iACxQAM,GetFeedback Survey Response: Net Promoter Score,1/17/2018 21:10,8,,0,,,
a3I0W0000027O3qUAE,003d0000034g5LDAAY,5000W000019iAXvQAM,GetFeedback Survey Response: Net Promoter Score,1/17/2018 21:28,10,,1,,,
a3I0W0000027O3vUAE,0030W00003RuKREQA3,5000W000019iBwzQAE,GetFeedback Survey Response: Net Promoter Score,1/17/2018 21:33,10,Very fast action was taken. Thank you,1,,,
a3I0W0000027O40UAE,003d000002aTbUBAA0,5000W000019iBmzQAE,GetFeedback Survey Response: Net Promoter Score,1/17/2018 21:42,10,"Hands Down the best Support I have ever experienced. The passion to serve and solve is evident through the phone, email or text. 
Thank You for your time and dedication!",1,,,
a3I0W0000027O45UAE,003d0000030mCFdAAM,5000W000019i8C7QAI,GetFeedback Survey Response: Net Promoter Score,1/17/2018 23:41,8,"as a SPC, I find the system for creating a new course roster somewhat painful, and the ability to edit it as people sign up or need to not attend burdensome.  Its also somewhat unclear what happens to the attendees at each step and I wish that were more clear.  overall though the course content and videos and the layout of the site and the responsiveness of Scaled Agile staff is pretty awesome.",0,,,
a3I0W0000027O4AUAU,003d000002aTXobAAG,5000W000019i8I0QAI,GetFeedback Survey Response: Net Promoter Score,1/18/2018 0:51,10,,1,,,
a3I0W0000027Nv0UAE,003d000002aTZCzAAO,5000W000016mnuqQAA,GetFeedback Survey Response: Net Promoter Score,1/13/2018 1:47,10,Thanks,1,,,
a3I0W0000027O4FUAU,003d0000030kty9AAA,5000W000019iCB7QAM,GetFeedback Survey Response: Net Promoter Score,1/18/2018 2:12,8,Great service by Christain,0,,,
a3I0W0000027O5LUAU,0030W00003RtUmBQAV,5000W000019iAJUQA2,GetFeedback Survey Response: Net Promoter Score,1/18/2018 4:36,10,Who are your partners in South Africa? I am interested in doing the SAFe course for lecturing purposes.,1,,,
a3I0W0000027O5uUAE,003d000002OXua1AAD,5000W000019iBI3QAM,GetFeedback Survey Response: Net Promoter Score,1/18/2018 6:58,10,"Very happy, Always prompt and very customer focussed",1,,,
a3I0W0000027O5zUAE,0030W00003RtfSaQAJ,5000W000019iABuQAM,GetFeedback Survey Response: Net Promoter Score,1/18/2018 7:42,10,,1,,,
a3I0W0000027O64UAE,0030W00003RGZTkQAP,5000W000016nH0QQAU,GetFeedback Survey Response: Net Promoter Score,1/18/2018 9:52,8,,0,,,
a3I0W0000027O69UAE,0030W00003PaeQOQAZ,5000W000019iAXWQA2,GetFeedback Survey Response: Net Promoter Score,1/18/2018 10:44,8,,0,,,
a3I0W0000027O6EUAU,003d000002OXNXfAAP,5000W000019iAlEQAU,GetFeedback Survey Response: Net Promoter Score,1/18/2018 13:00,8,"on line chat didn't work.  submitted trouble ticket and would have appreciated in advance a 24 hr response.  didn't need it fixed faster, just would have appreciated knowing in advance",0,,,
a3I0W0000027O6JUAU,0030W00003N5DXaQAN,5000W000019iBtMQAU,GetFeedback Survey Response: Net Promoter Score,1/18/2018 13:44,10,No,1,,,
a3I0W0000027O6OUAU,003d000002OWKNyAAP,5000W000019iBkyQAE,GetFeedback Survey Response: Net Promoter Score,1/18/2018 15:49,8,"I like SAI,  but I still have an open issue with my acclaim badge.   I've been an SPC since 2016 but still no badge.  SAI says it's not responsible, and Acclaim doesn't respond to my support emails.  When clients/prospects ask for my SAFe badge (from Acclaim), how do I answer them?",0,,,
a3I0W0000027O6TUAU,0030W00003QD8ncQAD,5000W000019iAIqQAM,GetFeedback Survey Response: Net Promoter Score,1/18/2018 16:46,10,,1,,,
a3I0W0000027O6YUAU,003d0000030oh6uAAA,5000W000019iCzpQAE,GetFeedback Survey Response: Net Promoter Score,1/18/2018 17:11,10,,1,,,
a3I0W0000027O6dUAE,003d000002lXwgfAAC,5000W000019i8zYQAQ,GetFeedback Survey Response: Net Promoter Score,1/18/2018 18:06,10,,1,,,
a3I0W0000027O6iUAE,0030W00003Ru1BhQAJ,5000W000019i8CCQAY,GetFeedback Survey Response: Net Promoter Score,1/18/2018 18:16,8,,0,,,
a3I0W0000027O6nUAE,0030W00003Ru5XnQAJ,5000W000019iCGuQAM,GetFeedback Survey Response: Net Promoter Score,1/18/2018 19:54,10,,1,,,
a3I0W0000027O6sUAE,003d000003DmM3PAAV,5000W000019iCwlQAE,GetFeedback Survey Response: Net Promoter Score,1/18/2018 19:56,10,"Very helpful, friendly response. Much appreciated! :-)",1,,,
a3I0W0000027O72UAE,003d0000030oHrlAAE,5000W000019iCSMQA2,GetFeedback Survey Response: Net Promoter Score,1/18/2018 22:39,10,Thank you for your support. Keep up the great work!,1,,,
a3I0W0000027O77UAE,003d000003CCTXIAA5,5000W000019iEkcQAE,GetFeedback Survey Response: Net Promoter Score,1/18/2018 23:06,10,Extremely happy with the support I am getting from the support team. Thank you. :),1,,,
a3I0W0000027O7CUAU,0030W00003RtiHXQAZ,5000W000019iEiRQAU,GetFeedback Survey Response: Net Promoter Score,1/18/2018 23:24,8,,0,,,
a3I0W0000027O7HUAU,003d000002OXujiAAD,5000W000019iDoOQAU,GetFeedback Survey Response: Net Promoter Score,1/19/2018 1:18,9,,1,,,
a3I0W0000027O7MUAU,003d000003FJ8EWAA1,5000W000019iAEoQAM,GetFeedback Survey Response: Net Promoter Score,1/19/2018 1:37,10,,1,,,
a3I0W0000027O7RUAU,0030W00003RGGN7QAP,5000W000019iD6lQAE,GetFeedback Survey Response: Net Promoter Score,1/19/2018 8:15,8,,0,,,
a3I0W0000027O7WUAU,003d000002uzfnvAAA,5000W000019iCY5QAM,GetFeedback Survey Response: Net Promoter Score,1/19/2018 8:36,7,,0,,,
a3I0W0000027O7bUAE,0030W00003RtwiYQAR,5000W000019iB0sQAE,GetFeedback Survey Response: Net Promoter Score,1/19/2018 10:30,8,,0,,,
a3I0W0000027O8UUAU,0030W00003QvXf9QAF,5000W000019iDbZQAU,GetFeedback Survey Response: Net Promoter Score,1/19/2018 15:30,10,,1,,,
a3I0W0000027O8ZUAU,0030W00003JvgoaQAB,5000W000019iCu1QAE,GetFeedback Survey Response: Net Promoter Score,1/19/2018 15:40,9,,1,,,
