User: Full Name,Learning Assignment: Completed On,Learning Assignment: Learning Plan: Learning Plan Name,Learning Assignment: Progress %,Learning Assignment: Times Launched,Learning Assignment: Learning Plan Section: Learning Plan Section Name,Question Text,Response Text Long
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,"Of the SAFe common topics covered in this lesson, which SAFe topic are you the most excited to use in a remote training class and what do you think will be the outcome (or what was the outcome if you have already tried it)?",I want to see how the coin toss exercise goes.
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What is one thing that could go wrong during one of the exercises in the SAFe common topics (such as the penny game or the PI Planning simulation) and what action can you as the trainer take to either solve or prevent it?,The document sharing could not be working for some participants. To overcome this we might ask they have the documents stored locally just in case the online version fails.
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What was your biggest learning from making your lesson plan?,It takes twice as long to prep for a remote class
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What expert advice or tip has made the most difference to you in your remote trainer journey and why?,Use stories to engage learners
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is a best practice you use in your in-person classroom setting that you could also use in a remote training setting?,Check in at the start and end of each day
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is an effective method for collecting fast feedback throughout a remote training class and why?,Use playback questions and polls
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What do you think is the most important working agreement you will establish during your virtual classes and why?,Assume positive intent because it helps set the students up to be open to other opinions
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,How would you facilitate activity debriefs effectively in a virtual classroom and how would you see the group's output?,By asking leading questions to solicit playback and to see the documents produced on the saraed tooling
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What would you recommend as a tip or method to keep remote learners engaged and why?,"Have a break every hour, let them stand up and move around"
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is something you do in your in-person training classroom that you would like to carry over into your virtual classroom?,The buzz that happens during the whole class exercises
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What action(s) can you take or put in place when preparing for remote training to help you manage unanticipated issues?,Have an extra coach or SM on hand to assist with technical issues or other group activities.
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is one tip that you would share with someone preparing to teach a virtual class for the first time?,Practise beforehand
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,Which synchronous collaboration tools are you most likely to use to support your classroom experience and why?,Will use Ms Teams because it is approved by my organisation
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What do you think is one benefit of having at least two trainers for your class?,Whilst one presents the other can manage the chat.
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,How would you modify the length of an existing in-person class to a remote training class?,Reduce to four hours per day with a break of 5-10 minutes every hour.
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What are some things you have thought about regarding the pre-course setup activities?,"Test the tools, practise, practise, practise"
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one activity your co-trainer can do to support you while you are teaching a remote class?,Monitor the chat
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 2 - Preparing for Remote Training,What is one way you can gain empathy for the student's virtual classroom experience?,"Speak to them, understand their needs and where they are in the world"
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,What is different and/or the same between remote and in-person training environments?,I just answered this question in the previous question
1d1m0M5rr16_jenni,6/8/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 1 - Welcome to SAFe Remote Trainer,How would you describe remote delivery training (e.g what are some key elements or features)?,Not all participants in the same location or time zone. Visual cues are less apparent. Use tools to emulate the in class experience.
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What was your biggest learning from making your lesson plan?,How much more important preparation is than for in-person classes
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,"Of the SAFe common topics covered in this lesson, which SAFe topic are you the most excited to use in a remote training class and what do you think will be the outcome (or what was the outcome if you have already tried it)?",Having teams connect in breakout - I think they will get an even better idea of how they van self-organize
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 5 - Teaching SAFe Remotely,What is one thing that could go wrong during one of the exercises in the SAFe common topics (such as the penny game or the PI Planning simulation) and what action can you as the trainer take to either solve or prevent it?,"I'd be concerned about the instructions being complicated enough to enhance misunderstanding. I'd 1) be very intentful in describing the activity, 2) demonstrate the mechanics; 3) myself and my co-instructor peeking n on all groups as often as practical"
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is an effective method for collecting fast feedback throughout a remote training class and why?,"- Pair share - gets people to listen to others, gives them a chance to teach back - gives them a break"
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What expert advice or tip has made the most difference to you in your remote trainer journey and why?,- connect with the participants early and often to ensure they are engaged
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 4 - Transitioning to Remote Training,What is a best practice you use in your in-person classroom setting that you could also use in a remote training setting?,Tell stories - to enhance learning and to break up the material.
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is one tip that you would share with someone preparing to teach a virtual class for the first time?,Connect with participants prior to the start of class
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What do you think is the most important working agreement you will establish during your virtual classes and why?,Assume positive intent - it will be harder to read visual and other cues to interpret what is happening
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,How would you facilitate activity debriefs effectively in a virtual classroom and how would you see the group's output?,- 1. Provide questions; 2. allow discussion (wither in one room or breakouts); 3. Have report backs on findings;4) Provide feedback on findings; 5) Allow for continued discussion
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What would you recommend as a tip or method to keep remote learners engaged and why?,"- Breaks, movement, and humor -to break the monotony and predictability of plowing through the material."
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What is something you do in your in-person training classroom that you would like to carry over into your virtual classroom?,- Connection with me and with other participants
B2n0R4d3l3tz_david,6/28/2020,SAFe Remote Trainer (Limited Release),100,1,Lesson 3 - Learning and Engagement,What action(s) can you take or put in place when preparing for remote training to help you manage unanticipated issues?,"Practice with a co-coach, have alternate HW on standby, have alternate connectivity options"
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,2,Lesson 2 - Preparing for Remote Training,How would you modify the length of an existing in-person class to a remote training class?,"Double days, half time per day"
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,2,Lesson 2 - Preparing for Remote Training,Which synchronous collaboration tools are you most likely to use to support your classroom experience and why?,Chat - on and off line discussions; polling - feedback and learning assessment
B2n0R4d3l3tz_david,6/26/2020,SAFe Remote Trainer (Limited Release),100,2,Lesson 2 - Preparing for Remote Training,What do you think is one benefit of having at least two trainers for your class?,Monitor feedback while presenter is engaged
