Word After Lemmatization,Parts of Speech Tag,Filtered Stop Words
Helping,VBG,Helping
different,JJ,different
role,NN,roles
understand,JJ,understand
place,NN,place
responsibility,NN,responsibilities
PI,NNP,PI
Planning,NNP,Planning
I,PRP,I
hoping,VBG,hoping
tool,JJ,tools
new,JJ,new
plan,NN,plans
help,VBP,help
drive,VB,drive
home,NN,home
effectively,RB,effectively
previous,JJ,previous
version,NN,versions
The,DT,The
virtual,JJ,virtual
classroom,NN,classroom
tool,NN,tools
Leadership,NNP,Leadership
topic,NN,topics
always,RB,always
rewarding,VBG,rewarding
teach,NN,teach
PI,NNP,PI
planning,NN,planning
simulation,NN,simulation
collaborate,NN,collaborate
I,PRP,I
think,VBP,think
go,VB,go
great,JJ,great
I,PRP,I
treid,VBP,treid
love,JJ,love
Aids,NNS,Aids
But,CC,But
want,VBP,want
use,NN,use
safe,JJ,safe
collaborate,NN,collaborate
Google,NNP,Google
drive,NN,drive
About,IN,About
Lean,NNP,Lean
Agile,NNP,Agile
Principles,NNP,Principles
Because,IN,Because
powerful,JJ,powerful
principle,NN,principles
guide,NN,guide
topic,NN,topics
Principles,NNP,Principles
Implementing,NNP,Implementing
SAFe,NNP,SAFe
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
usually,RB,usually
lot,VBZ,lot
people,NNS,people
remote,VBP,remote
leading,VBG,leading
safe,JJ,safe
SAFe,NNP,SAFe
remote,NN,remote
training,NN,training
aid,NN,aids
trying,VBG,trying
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
platform,NN,platform
upcoming,VBG,upcoming
course,NN,course
The,DT,The
dedicated,JJ,dedicated
class,NN,class
page,NN,page
created,VBD,created
Collaborate,NNP,Collaborate
SAFe,NNP,SAFe
team,NN,teams
basic,NN,basic
team,NN,teams
Then,RB,Then
scrum,VBD,scrum
master,NN,masters
also,RB,also
there,RB,theres
reset,VB,reset
scrum,NN,scrum
org,NN,org
since,IN,since
scrum,NN,scrum
master,NN,masters
pivotal,JJ,pivotal
team,NN,teams
Customer,NNP,Customer
centricity,NN,centricity
User,NNP,User
Story,NNP,Story
Mapping,NNP,Mapping
PI,NNP,PI
Planning,NNP,Planning
topic,NN,topic
excited,VBD,excited
remote,JJ,remote
train,NN,train
I,PRP,I
remoted,VBD,remoted
trained,JJ,trained
Leading,NNP,Leading
SAFe,NNP,SAFe
multiple,JJ,multiple
time,NN,times
remote,NN,remote
aid,NN,aid
spreadsheet,NN,spreadsheet
PI,NNP,PI
planning,NN,planning
okay,NN,okay
always,RB,always
requires,VBZ,requires
additional,JJ,additional
explanation,NN,explanation
I,PRP,I
moved,VBD,moved
using,VBG,using
remote,JJ,remote
planning,VBG,planning
web,NN,web
based,VBN,based
tool,JJ,tool
interactive,NN,interactive
required,VBN,required
quite,RB,quite
bit,JJ,bit
custom,JJ,custom
setup,NN,setup
I,PRP,I
excited,VBD,excited
use,NN,use
SAFe,NNP,SAFe
Collaborate,NNP,Collaborate
PI,NNP,PI
Planning,NNP,Planning
Simulation,NNP,Simulation
Students,NNP,Students
gain,VBP,gain
deeper,JJR,deeper
knowledge,NN,knowledge
key,JJ,key
consctruct,NN,consctruct
SAFE,NNP,SAFE
actually,RB,actually
PI,NNP,PI
planning,VBG,planning
role,NN,role
play,NN,play
collaborate,NN,collaborate
help,NN,help
team,NN,teams
understand,VB,understand
process,NN,process
PI,NNP,PI
planning,NN,planning
remote,NN,remote
PI,NNP,PI
planning,NN,planning
To,TO,To
bring,VB,bring
activity,NN,activity
SAFe,NNP,SAFe
Principles,NNP,Principles
provide,VB,provide
highest,JJS,highest
benefit,NN,benefit
practitioner,NN,practitioners
I,PRP,I
really,RB,really
interesting,VBG,interesting
working,VBG,working
Collaborate,NNP,Collaborate
tool,NN,tool
I,PRP,I
heard,VBD,heard
lot,RB,lot
great,JJ,great
thing,NN,things
For,IN,For
longest,JJS,longest
I,PRP,I
challenged,VBD,challenged
facilitate,NN,facilitate
penny,NN,penny
game,NN,game
effective,JJ,effective
manner,NN,manner
I,PRP,I
use,VBP,use
template,JJ,template
start,NN,start
activity,NN,activity
next,IN,next
class,NN,class
I,PRP,I
guess,VBP,guess
SM,NNP,SM
RTE,NNP,RTE
SPC,NNP,SPC
class,NN,classes
good,JJ,good
fit,JJ,fit
remote,JJ,remote
class,NN,classes
On,IN,On
top,JJ,top
PIPe,NNP,PIPe
simulation,NN,simulation
good,JJ,good
exercise,NN,exercise
real,JJ,real
life,NN,life
many,JJ,many
people,NNS,people
even,RB,even
covid,VBP,covid
situation,NN,situation
became,VBD,became
norm,JJ,norm
I,PRP,I
like,VBP,like
Collaboration,NNP,Collaboration
Platform,NNP,Platform
I,PRP,I
think,VBP,think
give,JJ,give
unified,VBN,unified
feel,NN,feel
class,NN,class
provide,VBP,provide
easy,JJ,easy
mean,JJ,means
revisit,NN,revisit
learning,VBG,learning
class,NN,class
PI,NNP,PI
Planning,NNP,Planning
I,PRP,I
love,VBP,love
Participatory,NNP,Participatory
Budgeting,NNP,Budgeting
simulation,NN,simulation
exercise,NN,exercise
work,NN,works
really,RB,really
well,RB,well
digital,JJ,digital
training,NN,training
Leading,VBG,Leading
SAFe,NNP,SAFe
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
The,DT,The
outcome,NN,outcomes
great,JJ,great
Heaps,NNP,Heaps
interaction,NN,interaction
learning,VBG,learning
mention,NN,mention
preparing,VBG,preparing
participant,JJ,participants
apply,NN,apply
real,JJ,real
life,NN,life
workplace,NN,workplaces
vv,NN,vv
PI,NNP,PI
Planning,NNP,Planning
simulation,NN,simulation
Remote,NNP,Remote
aid,NN,aid
provided,VBN,provided
greatly,RB,greatly
working,VBG,working
Heard,NNP,Heard
positive,JJ,positive
feedback,NN,feedback
participant,NN,participants
saying,VBG,saying
experience,NN,experience
good,JJ,good
done,VBN,done
face,NN,face
face,NN,face
training,VBG,training
PI,NNP,PI
planning,VBG,planning
quite,RB,quite
complex,JJ,complex
remote,NN,remote
great,JJ,great
Las,NNP,Las
salas,NN,salas
de,IN,de
trabajo,FW,trabajo
remota,JJ,remota
los,NN,los
tableros,NNS,tableros
en,IN,en
linea,NN,linea
I,PRP,I
really,RB,really
like,IN,like
Collaborate,NNP,Collaborate
tool,NN,tool
I,PRP,I
going,VBG,going
use,IN,use
next,JJ,next
training,NN,training
I,PRP,I
sure,VBP,sure
help,JJ,help
learner,NN,learners
absorb,VB,absorb
knowledge,NN,knowledge
practice,NN,practice
SAFe,NNP,SAFe
The,DT,The
virtual,JJ,virtual
exercise,NN,exercises
little,RB,little
nervous,JJ,nervous
I,PRP,I
expect,VBP,expect
work,NN,work
PI,NNP,PI
Planning,NNP,Planning
using,VBG,using
excel,JJ,excel
documentation,NN,documentation
prioritization,NN,prioritization
Batch,NNP,Batch
flow,NN,flow
demo,NN,demo
SAFe,NNP,SAFe
collaborate,NN,collaborate
I,PRP,I
think,VBP,think
hugely,RB,hugely
improve,VB,improve
collaboration,NN,collaboration
class,NN,class
This,DT,This
course,NN,course
inspired,VBD,inspired
pursue,JJ,pursue
Marketing,NNP,Marketing
LPM,NNP,LPM
course,NN,courses
1,CD,1
Assess,NNP,Assess
SAFe,NNP,SAFe
5,CD,5
0,CD,0
business,NN,business
agility,NN,agility
effectiveness,RB,effectiveness
well,RB,well
2,CD,2
Have,VBP,Have
better,JJR,better
chance,NN,chance
complement,JJ,complement
technical,JJ,technical
agility,NN,agility
I,PRP,I
practiced,VBD,practiced
far,RB,far
